icao,name,fuels,availability,lat,lon,fuel_section,error
LFJS,SOISSONS COURMELLES,100LL,100LL=restricted,49.345000,3.283056,10 - AVT : Carburant / Fuel : 100 LL. PPR TEL : 06 20 94 03 65 Paiement comptant / Cash payment.,
LFJT,TOURS LE LOUROUX,,,47.150000,0.712778,10 - AVT : NIL.,
LFJU,LURCY LEVIS,,,46.712222,2.944722,10 - AVT : NIL.,
LFJV,LASCLAVERIES,,,43.425278,-0.286944,10 - AVT : NIL.,
LFJY,CHAMBLEY,100LL|JET_A1|UL91,100LL=self_service|JET_A1=self_service|UL91=restricted,49.025556,5.876111,"← 10 - AVT : 100 LL : Paiements cartes TOTAL H24 / Payment TOTAL card H24. 100 LL, UL91 : O/R paiements par CB, cash, chèque / O/R payments by credit card, cash, cheque. JET A1 : Paiements / payments CB H24. O/R paiements par cash, chèque / O/R payments by cash, cheque. TEL : 03 29 89 30 10 ou / or 06 07 85 15 39.",
LFKA,ALBERTVILLE GAL P. DELACHENAL,100LL|JET_A1,100LL=restricted|JET_A1=restricted,45.626389,6.328889,"10 - AVT : Carburant / Fuel : JET A1 auprès du / ask for SAF, 100 LL HX auprès de / ask for ACB. Paiement comptant et cartes de crédit TOTAL / Cash payment and TOTAL credit card.",
LFKB,BASTIA PORETTA,100LL|JET_A1,100LL=unknown|JET_A1=restricted,42.550000,9.484722,← 10 - AVT : Carburants / Fuel : 100 LL. JET A1 - 0600-1800. En dehors de ces HOR O/R avant 1500 pour JET A1 Outside these SKED O/R before 1500 for JET A1 TEL : 04 95 54 54 74. Lubrifiants / Lubricants : NIL. Paiement : cartes BP (ou CB) Payment : BP cards (or CB),
LFKC,CALVI SAINTE CATHERINE,100LL|JET_A1,100LL=restricted|JET_A1=restricted,42.524444,8.793056,"10 - AVT : Carburants / Fuel : 100LL, JET A1 (par camions / by trucks). ETE / SUM : 0600 - 1000, 1200 - 1600 HIV / WIN : 0800 - 1100, 1400 - 1700 En dehors de ces horaires : PPR 1 HR sauf vols commerciaux programmés. Outside these SKED : PPR 1 HR except for scheduled commercial flights. Moyens de paiement / payment means : CB Visa, Eurocard, Eurochèques, chèques, Euros, Mastercard, American Express Cartes / Cards : UVAIR - World Fuel Service - BP. TEL. : 04 95 65 05 45 / 06 11 69 20 54 FAX : 04 95 65 31 46.",
LFKD,SOLLIERES SARDIERES,,,45.253889,6.801111,10 - AVT : NIL.,
LFKE,SAINT JEAN EN ROYANS,,,45.026389,5.309167,← 10 - AVT : NIL.,
LFKF,FIGARI SUD CORSE,100LL,100LL=restricted,41.502222,9.096667,"10 - AVT : Carburants / Fuel : 100LL- JET- A1 - Lubrifiant / Lubricant : NIL. HOR : 0400 - 2000. Extension si départ planifié après 2000 / Extension if departure planned after 2000. TEL : 06 35 24 05 88. Aviation Générale : PPR obligatoire auprès de l'exploitant / General aviation : PPR mandatory from AD operator. Paiement comptant, carte bancaire ou carte TOTAL / Cash, credit card or TOTAL card.",
LFKG,GHISONACCIA ALZITONE,100LL|JET_A1,100LL=restricted|JET_A1=restricted,42.054444,9.400278,"10 - AVT : Carburant / Fuel : 100 LL, Jet A1, réservé aux ACFT basés - disponible avec préavis ou sur demande incluse dans le PPR / reserved for home-based ACFT - available with prior notice or with prior request included in PPR. Lubrifiant / Lubricant : NIL.",
LFKH,SAINT JEAN D'AVELANNE,,,45.515833,5.679444,10 - AVT : NIL.,
LFKJ,AJACCIO NAPOLEON BONAPARTE,100LL|JET_A1,100LL=self_service|JET_A1=restricted,41.923611,8.795278,"10 - AVT : Carburants / Fuel : 100LL – JET A1/TR0. AIR BP (CIV-MIL) 0500-1900 - TEL : 06 70 87 87 82. Lubrifiant / Lubricant : NIL En dehors de ces HOR, uniquement sur demande à l'atterrissage avec délai d'intervention maxi de 2HR. TEL : 04 95 22 79 81. Station automatique AVGAS 100LL H24 avec carte BP. Paiement : Cartes pétrolières (carte BP, US Government Air Card), cartes bancaires (Visa, Eurocard, Mastercard), espèces (euros - maxi 750 euros TTC par livraison), chèques : aucun. Outside these SKED, only on request after landing with a maximum lead time of 2HR. TEL : 04 95 22 79 81. AVGAS 100LL H24 automatic dispenser with BP card. Payment : Petrol cards (BP card, US Government Air Card), credit cards (Visa, Eurocard, Mastercard), cash (euros - max 750 euros tax included per delivery), cheques : none.",
LFKL,LYON BRINDAS,100LL,100LL=restricted,45.710556,4.696667,10 - AVT : Carburants / Fuel : 100 LL possible : O/R TEL : ACB.,
LFKM,SAINT GALMIER,,,45.606389,4.305000,10 - AVT : NIL.,
LFKO,PROPRIANO,JET_A1,JET_A1=self_service,41.660278,8.893889,"10 - AVT : Jet A1 - AVGAS - Automat (Carte bleue VISA, Master card).",
LFKP,LA TOUR DU PIN CESSIEU,,,45.557500,5.386111,10 - AVT : Carburant / Fuel : NIL.,
LFKR,SAINT REMY DE MAURIENNE,100LL,100LL=restricted,45.375000,6.277778,"10 - AVT : Carburant / Fuel : 100LL HOR / SKED ACB, Lubrifiant / Lubricant : NIL.",
LFKT,CORTE,,,42.290278,9.192500,10 - AVT : NIL.,
LFKX,ATTERRISSAGE A VUE ALTIPORT/MOUNTAIN,,,45.407500,6.577500,10 - AVT : NIL.,
LFKY,BELLEY PEYRIEU,100LL,100LL=restricted,45.693889,5.691667,"10 - AVT : Carburant / Fuel : 100 LL. Lubrifiants / Lubricants : Aero DM (CIV) SAM, DIM et JF / SAT, SUN and public HOL : HX.",
LFLA,AUXERRE BRANCHES,100LL|JET_A1,100LL=self_service|JET_A1=self_service,47.846389,3.496667,10 - AVT : Carburants / Fuel : 100 LL - JET A1. Lubrifiants / Lubricants : NIL. H 24 carte TOTAL / TOTAL card. Paiement comptant / Cash payment : HOR ATS / ATS SKED.,
LFLB,CHAMBERY AIX LES BAINS,100LL|JET_A1,100LL=self_service|JET_A1=self_service,45.639167,5.880000,"← 10 - AVT : Carburants / Fuel : 100LL, JET A1 HOR / SKED : JET A1 : 01 MAI-30 NOV / 01 MAY-30 NOV : LUN-VEN / MON-FRI : 0700-1930 SAM-DIM / SAT-SUN : 0830-1730 01 DEC-30 AVR / 01 DEC-30 APR : 0700-1930 AVGAS : 01 MAI-30 NOV / 01 MAY-30 NOV : LUN-VEN / MON-FRI : 0700-1930 SAM-DIM / SAT-SUN : 0830-2000 01 DEC-30 AVR / 01 DEC-30 APR : 0700-1930 (Automate 100LL uniquement avec carte BP / Autofuel terminal 100LL only with BP card). Lubrifiants / Lubricants : NIL. Paiement / Payment 100LL : Cartes de crédit Visa, Mastercard - BP - Espèces : € / Visa Credit Cards, Mastercard - BP - Cash : €. Paiement / Payment JET A1 : Cartes de crédit Visa, Mastercard, BP, American Express, Diner's club - Espèces : € / Visa Credit Cards, Mastercard, BP, American Express, Diner's club - Cash : €.",
LFLC,CLERMONT FERRAND AUVERGNE,100LL|JET_A1,100LL=self_service|JET_A1=self_service,45.786111,3.162500,10 - AVT : Carburants / Fuel TOTAL ENERGIES : 100 LL. JET A1 TRO (MIL). Lubrifiants / Lubricants : NIL. Tous aéronefs / All ACFT 0500-2100 : JET A1 et / and JET A1 SAF. Station autonome ouverte / Self service station open H24 : AVGAS 100LL et / and JET A1. TEL : +33 4 73 62 71 15 - E-mail : avitaillement@aeroport-clermont.fr Paiement : carte Total Energies pour la station autonome. Payment : Total Energies card for self service station.,
LFLD,BOURGES,100LL|JET_A1,100LL=self_service|JET_A1=self_service,47.060833,2.370000,"10 - AVT : Carburants / Fuel : 100LL - Jet A1. Possible H24 par carte bancaire. / Available with credit card H24. LUN-VEN : 0730-1700. SAM, DIM et JF : 0730-1600. MON-FRI: 0730-1700. SAT, SUN and HOL: 0730-1600. © Service de l'Information Aéronautique, France AMDT 13/24 AD 2 LFLD TXT 03 AIP FRANCE 28 NOV 2024 BOURGES",
LFLE,CHAMBERY CHALLES LES EAUX,100LL,100LL=unknown,45.560556,5.975833,10 - AVT : 100 LL - Paiement par carte TOTAL uniquement / Payment only by TOTAL card.,
LFLG,GRENOBLE LE VERSOUD,100LL|JET_A1|UL91,100LL=self_service|JET_A1=self_service|UL91=self_service,45.218056,5.848611,"10 - AVT : Carburant / Fuel : AVGAS 100LL - UL91 - JET A1. Lubrifiant / Lubricant : NIL. Libre service : H24 avec les cartes Air BP, Sterling Card pour AVGAS 100LL - UL91 - JET A1. H24 avec CB VISA et MASTERCARD pour UL91 uniquement. Service par agent avitailleur : AVGAS 100LL et JET A1 uniquement. Du 1er avril au 30 septembre : 0730-1045, 1230-1615. Du 1er octobre au 31 mars : 0800-1045, 1230-1545. Fermé le 25 décembre et le 1er janvier. Paiement par carte bancaire uniquement : Visa, Master Card, American Express. Self service : H24 with Air BP, Sterling cards for AVGAS 100LL - UL91 - JET A1. H24 with VISA and MASTERCARD for UL91 only. Service by fueller agent : AVGAS 100LL and JET A1 only. From april 1st to september 30th : 0730-1045, 1230-1615. From october 1st to march 31st : 0800-1045, 1230-1545. Closed on december 25th and january 1st. Payment by credit card only : Visa, Master Card, American Express.",
LFLH,CHALON CHAMPFORGEUIL,100LL|JET_A1,100LL=self_service|JET_A1=self_service,46.828333,4.816944,"10 - AVT : Carburant : AVGAS 100LL, JET A1. Paiement carte de credit via Automate H24 ou espèces, Fuel release AEG, WFS, JETEX 0800-1700 Lubrifiant : O/R par téléphone exploitant, 0700-1700 Fuel : AVGAS 100LL, JET A1. Payment by credit card H24 or cash, Fuel release AEG, WFS, JETEX 0800-1700 Lubricants : O/R by phone operator, 0700-1700",
LFLI,ANNEMASSE,100LL|JET_A1,100LL=restricted|JET_A1=restricted,46.191944,6.268333,"10 - AVT : Carburants / Fuel : 100LL, JET A1 . Lubrifiants / Lubricants : 80, 100 (CIV-MIL) HJ, Paiement comptant et cartes de crédit TOTAL / Cash payment and TOTAL credit cards.",
LFLJ,ALTIPORT/MOUNTAIN AIRFIELD,100LL|JET_A1,100LL=unknown|JET_A1=unknown,45.395833,6.632500,← 10 - AVT : Carburants / Fuel : 100 LL. Exploitant sur AD / Operator on AD. JET A1 HEL : SOCIETE SAF - TEL : 04 79 08 00 91. - E-mail : ops@saf-helico.com JET A1 ACFT : NIL.,
LFLL,LYON SAINT EXUPERY,JET_A1,JET_A1=self_service,45.725556,5.081111,10 - AVT : Carburant / Fuel : JET A1. Lubrifiants / Lubricants : ELF 80 - F 100 (CIV-MIL). Cartes de crédit ou paiement comptant / credit card or cash. HOR/ SKED : H24 camions avitailleurs. Pas de restrictions / H24 fueling trucks. No restrictions. HN : PN 20 min pour / for HOR / SKED : 2300-0230.,
LFLM,MACON CHARNAY,100LL,100LL=restricted,46.295833,4.795833,"10 - AVT : Carburants / Fuel : MAR-SAM : 0800-1100, 1230-1600 sauf jours feriés : - SANS PLOMB 98 et 100LL : paiement liquide, carte bancaire ou chèque - 100LL : tous les jours avec carte total. TUE-SAT: 0800-1100, 1230-1600 Except bank holidays. - UNLEADED 98 and 100LL : cash payment, credit card or cheque - 100LL : every day with total card.",
LFLN,SAINT YAN,100LL|JET_A1,100LL=restricted|JET_A1=restricted,46.406667,4.021111,"10 - AVT : Carburant / Fuel : 100 LL - JET A1. Sauf SAM, DIM et JF / Except SAT, SUN and public HOL. HIV / WIN : - LUN-JEU / MON-THU : 0630-2030 - VEN / FRI : 0630-1830 ETE / SUM : - LUN-JEU / MON-THU : 0530-2030 - VEN / FRI : 0530-1730 En dehors de ces HOR, avitaillement possible après accord sur demande dernier jour ouvrable avant 1500 / Outside these SKED, possible refueling after agreement on request last working day before 1500. Paiement : espèces, chèques, CB, cartes AEG, virement ou bon modèle 19. Payment only by cash, cheques, credit card, AEG cards, bank transfer or ""modèle 19"" vouchers. TEL : 06 79 21 64 41.",
LFLO,ROANNE,100LL|JET_A1|UL91,100LL=self_service|JET_A1=self_service|UL91=self_service,46.052778,3.999722,"← 10 - AVT : Carburants / Fuel : 100 LL, Jet A1, UL91 HOR AFIS / AFIS SKED Lubrifiants / Lubricants : NIL Paiement comptant, cartes bancaires, chèques / Cash, credit cards, cheques. Tous carburants / All fuels : CB H24 Exonération TIC uniquement en présence de RFFS / TIC exemption only in the presence of RFFS.",
LFLP,ANNECY MEYTHET,100LL|JET_A1|UL_AERO,100LL=self_service|JET_A1=self_service|UL_AERO=self_service,45.930833,6.106389,"← 10 - AVT : Carburants / Fuel : 100 LL, UL Aéro Super +, électricité / electricity , JET A1, JET A1 SAF (suivre ligne 6 / follow line 6) Automates H24 envergure max 16 m : 100 LL, UL Aéro Super +, électricité (poste 61), JET A1 (paiement JET A1 automate par carte TotalEnergies uniquement) Self-Service H24 max span 16 m : 100 LL, UL Aéro Super +, electricity (stand 61), JET A1 (JET A1 self- service payment only with TotalEnergies card) Au poste 0800-1800 : JET A1 et JET A1 SAF (paiement JET A1 SAF par carte TotalEnergies ou Fuel release uniquement) On the stand 0800-1800 : JET A1 and JET A1 SAF (JET A1 SAF payment with TotalEnergies card or fuel release only) Carte TotalEnergies, VISA, MASTERCARD, espèces euros. TotalEnergies card, VISA, MASTERCARD, cash euros. TEL : 04 50 27 22 50 / 06 61 70 98 22.",
LFLQ,MONTELIMAR ANCONE,UL91,UL91=restricted,44.580278,4.739167,"← 10 - AVT : AVGAS UL 91. HX : voir / see ACB de Montélimar. Quantité limitée / Limited quantities . Paiement comptant ou carte bancaire. Cash payment or credit card. Approvisionnement entre 0900 et 1700, uniquement sur RDV fixé la veille au 06 95 46 87 14 Refuelling : between 0900 and 1700, only with appointment the day before to + 33 (0)6 95 46 87 14",
LFLR,SAINT RAMBERT D'ALBON,100LL,100LL=restricted,45.255000,4.824722,"10 - AVT : Carburant / Fuel : 100 LL - Lubrifiants / Lubricant : NIL. HX, carte de crédit TOTAL ou paiement comptant / TOTAL credit card or cash payment.",
LFLS,GRENOBLE ALPES ISERE,100LL|JET_A1,100LL=restricted|JET_A1=restricted,45.363056,5.332778,"10 - AVT : Carburants / Fuel : 100LL - JET A1 par camion / by truck : selon HOR ATS. / according to ATS SKED. Vols privés, officiels et commerciaux, HOR prolongés O/R. Private, official and commercial flights SKED extended O/R. TEL : +33 4 76 65 55 17.",
LFLT,MONTLUCON DOMERAT,,,46.352778,2.570556,10 - AVT : NIL.,
LFLU,VALENCE CHABEUIL,100LL|JET_A1,100LL=self_service|JET_A1=self_service,44.915556,4.968611,"10 - AVT : Carburant / Fuel : AVGAS 100 LL - JET A1, Lubrifiant / Lubricant : NIL. LUN-VEN / MON-FRI : 0700-1800, sauf JF / except public HOL. Camion avitailleur / Refueling truck : JET A1. LUN-VEN / MON-FRI : 0700-1800. Paiement : carte TOTAL, carte bancaire, espèce / Payment : TOTAL card, credit card, cash. En dehors de ces HOR : automate JET A1 et AVGAS 100LL avec carte TOTAL uniquement H24 / Outside these SKED : JET A1 and AVGAS 100LL dispenser with TOTAL card only, H24.",
LFLV,VICHY CHARMEIL,100LL,100LL=self_service,46.171667,3.404167,10 - AVT : Carburants / Fuels : 100LL - Lubrifiants / Lubricants : NIL. H24 : cartes bancaires. HOR ATS : espèces (accord préalable exploitant). H24: credit cards. ATS SKED: cash (prior operator agreement). Absence ATS : H24 pour les possesseurs de la carte TOTAL / for TOTAL card holders.,
LFLW,AURILLAC,100LL|JET_A1,100LL=self_service|JET_A1=self_service,44.897500,2.416667,"← 10 - AVT : Carburant / Fuel : 100LL, JET A1. Lubrifiant / Lubricant : NIL. 100LL Carte de crédit ou carte TOTAL / 100 LL Credit card or TOTAL card. JET A1 Carte TOTAL / JET A1 TOTAL card. Automates H24 avec carte TOTAL / Automatic dispenser H 24 with TOTAL card. Paiement comptant / Cash payment : HOR RFFS / RFFS SKED.",
LFLX,CHATEAUROUX DEOLS,100LL|JET_A1,100LL=restricted|JET_A1=restricted,46.860278,1.721111,"10 - AVT : Carburants / Fuel : Jet A1, 100 LL. Lubrifiants / Lubricants : NIL. LUN-DIM / MON-SUN : 0730 -1900. En dehors de ces HOR : PPR 2 HR permanence exploitant AD / Outside these SKED : PPR 2 HR from duty office. Paiement 100 LL : cartes VISA, MASTERCARD et carte TOTAL. 100 LL payment : VISA, MASTERCARD and TOTAL Card.",
LFLY,LYON BRON,100LL|JET_A1|UL_AERO,100LL=self_service|JET_A1=restricted|UL_AERO=restricted,45.729444,4.938889,"← 10 - AVT : Carburants / Fuel : UL AERO SUPER+ - 100 LL - JET A1 (TOTAL Energies et / and Air BP). 0630-2230, carte crédit, Eurochèques ou paiement comptant. Société SCAL : Hors HOR ouverture, TEL : 06 34 53 30 58 Carte TOTAL à la station 100LL : H24. JET A1 : TOTAL ou BP (Carte TOTAL ou Carte Sterling). S'adresser au comptoir ADL dans le Terminal ou contacter FREQ OPS. 0630-2230, credit card, Eurocheques or cash payment. SCAL company : outside opening SKED, TEL : 06 34 53 30 58 TOTAL Card for 100LL : H24. JET A1 : TOTAL or BP (TOTAL card or Sterling card). Contact ADL desk counter inside terminal or contact OPS FREQ.",
LFLZ,FEURS CHAMBEON,,,45.706667,4.196944,10 - AVT : NIL.,
LFMA,AIX LES MILLES,100LL|JET_A1,100LL=self_service|JET_A1=self_service,43.505278,5.367222,"10 - AVT : Carburants / Fuel : 100LL, JET A1 Lubrifiants / Lubricants : NIL. Carte bancaire / Credit card : H24 Paiement comptant / Cash payment : HOR / SKED : voir exploitant / see operator. TEL : 06 13 17 34 24.",
LFMC,LE LUC LE CANNET,,,43.384722,6.386944,"10 - AVT : Carburant / Fuel : MIL : F34, F35 Lubrifiants / Oil : O 138 - O 150 - O 155 - O 156 - Autres / Others : H 515 HOR ATS / ATS SKED",
LFMD,CANNES MANDELIEU,100LL|JET_A1,100LL=restricted|JET_A1=restricted,43.546389,6.954167,"10 - AVT : Carburant / Fuel : 100 LL JET A1 HOR ATS ou PPR la veille / ATS SKED or PPR on previous day TEL : 04 93 90 42 02. Poste 7 (avitaillement AVGAS 100LL pompe fixe): poste 7.1 uniquement carte de crédit, poste 7.2 uniquement BP. Stand 7 (AVGAS 100LL stationary pump): stand 7.1 credit card only, stand 7.2 BP only. Lubrifiant / Lubricant : disponible / available .",
LFME,NIMES COURBESSAC,100LL,100LL=unknown,43.853056,4.414444,"← 10 - AVT : Carburants / Fuel : 100LL, Lubrifiants / Lubricants : NIL. SR-SS Gestion / Manager : SPL-AGATE Paiement : Carte Bleue",
LFMF,FAYENCE,,,43.608056,6.701667,10 - AVT : NIL.,
LFMG,MONTAGNE NOIRE,,,43.406389,1.989167,10 - AVT : NIL.,
LFMH,SAINT ETIENNE LOIRE,JET_A1,JET_A1=restricted,45.534167,4.297222,"← 10 - AVT : HOR : LUN-VEN 0815-1730 ; SAM-DIM et JF : avitaillement non assuré. - Avitaillement JET A1 : en dehors de ces horaires, avitaillement possible sur PPR (LUN-VEN : PPR PN 24HR ; SAM-DIM et JF : PPR PN 48HR). Par E-mail : operations@saint-etienne.aeroport.fr - Avitaillement AVGAS : Durant les heures d'ouverture, règlement carte bancaire et carte AIR TOTAL. En dehors de ces horaires : règlement uniquement en carte AIR TOTAL. SKED : MON-FRI 0815-1730 ; SAT-SUN and public HOL : fuelling not provided. - JET A1 fuelling : outside this SKED, fuelling possible with PPR (MON-FRI : PPR PN 24HR ; SAT- SUN and public HOL : PPR PN 48HR). By E-mail : operations@saint-etienne.aeroport.fr - AVGAS fuelling : during opening SKED, payment with bank card or AIR TOTAL card. Outside this SKED payment only with AIR TOTAL card. Lubrifiant / Lubricant : NIL.",
LFMI,ISTRES LE TUBE,100LL|JET_A1,100LL=restricted|JET_A1=restricted,43.522500,4.924167,10 - AVT : Carburants / Fuel : F34 - F35 (JetA1) - F18 (100LL). Hors HOR / Out of HOR : PN 1 HR Lubrifiants / Oil : NIL,
LFMK,CARCASSONNE SALVAZA,100LL|JET_A1,100LL=self_service|JET_A1=unknown,43.215833,2.308611,"10 - AVT : Carburants / Fuel : 100 LL en libre service / self-service . Paiement / Payment : Carte BP, Cartes de crédit / BP Card, Credit cards. Carburants / Fuel : JET A1 Paiement / Payment : Espèces (euro), Carte BP, Cartes de crédit / Cash (euro), BP Card, Credit cards. TEL : 04 68 71 96 47.",
LFML,MARSEILLE PROVENCE,100LL|JET_A1,100LL=unknown|JET_A1=unknown,43.436667,5.215000,"10 - AVT : Carburants / Fuel : 100LL, JET A1. Lubrifiants / Lubricants : Shell tous types (Aéromécanic), paiement : CB, contrats compagnies (toutes marques), espèces acceptées pour Gam/TOTAL / Shell any kind (Aéromecanic), payment : CB, company contracts (any brand), cash accepted for Gam/TOTAL.",
LFMN,NICE COTE D'AZUR,JET_A1,JET_A1=restricted,43.665278,7.215000,"10 - AVT : Carburants : Jet A1. SASCA : sans préavis 0400-2100 - TEL : 04 93 21 39 73. WF Aviation Services : sans préavis 0400-2200 - TEL : 04 83 76 28 13. En dehors de ces HOR, O/R PN 1 HR après l'atterrissage de l'appareil à l'exploitant AD ou assistant. Fuel : Jet A1. SASCA : without prior notice 0400-2100 - TEL : 04 93 21 39 73. WF Aviation Services : without prior notice 0400-2200 - TEL : 04 83 76 28 13. Outside these SKED, O/R PN 1 HR after landing to AD operator on AD or handling.",
LFMP,PERPIGNAN RIVESALTES,100LL|JET_A1|UL_AERO,100LL=self_service|JET_A1=restricted|UL_AERO=self_service,42.740833,2.869722,"10 - AVT : Carburant / Fuel : JET A1. 100LL/AVGAS et / and UL AERO SUPER + par automate en zone sud, proche hangar SABENA (roulettes indispensables pour hélicoptères) / by fuel dispenser in south area, close to hangar SABENA (necessary wheels for HEL). LUN-SAM / MON-SAT : 0500-2000, DIM / SUN : 0630-2000. Autres HOR O/R avant 1900 / Outside these SKED O/R before 1900. TEL : 04 68 61 28 14. AMDT 11/25 © Service de l'Information Aéronautique, France AIP FRANCE AD 2 LFMP TXT 06 02 OCT 2025 PERPIGNAN RIVESALTES",
LFMQ,LE CASTELLET,100LL|JET_A1,100LL=self_service|JET_A1=self_service,43.252222,5.786111,← 10 - AVT : Automate H24 JET A1-AVGAS 100LL : paiement par badge exploitant ou CB uniquement. Camion avitailleur JET A1 HOR ATS : paiement par CB ou espèces. H24 JET A1-AVGAS 100LL automated fuel dispenser payment by operator badge or credit card only. Refueling truck JET A1 ATS SKED : payment by credit card or cash. Lubrifiants / Lubricants : NIL.,
LFMR,BARCELONNETTE SAINT PONS,100LL|JET_A1,100LL=unknown|JET_A1=unknown,44.387222,6.609167,10 - AVT : Carburant / Fuel : 100LL - JET A1 - Lubrifiant / Lubricant : NIL (CIV-MIL) 0900-SS. En cas d'absence / If absence TEL : 06 51 37 98 04 / 06 30 20 69 02 Paiement : CB - chèques - espèces / Payment : Credit card - cheques - cash.,
LFMS,ALES CEVENNES,100LL,100LL=self_service,44.072778,4.143056,10 - AVT : Carburant 100LL. H24 : automate avec carte Air TOTAL. Fuel 100LL. H24 : dispenser with TOTAL card.,
LFMT,MONTPELLIER MEDITERRANEE,100LL|JET_A1,100LL=self_service|JET_A1=restricted,43.583333,3.961389,"← 10 - AVT 0300-2200 - TEL : 04 67 65 10 10 - FREQ 131.575 PN 30 MIN : En dehors de ces HOR / Outside these SKED : astreinte de nuit au / night duty on 04 67 65 10 70 (délai d'intervention de nuit 1 HR après appel; facturation surcoût déplacement de nuit) / (Night response time 1 HR after call; billing of night shift surchages) . Carburants/ Fuel : 100LL, JET A1 (CIV-MIL) Lubrifiants / Lubricants : NIL. JET A1 : 7 cuves de 120 m³, 1 camion de 36 m³ / 7 tanks 120 m³, 1 truck 36 m³ AVGAS 100LL : cuve de 50 m³, camions de 5800 litres 1 camion de 32 m³, 1 camion de 11 m³, 1 camion de 40 m³ / 50 m³ tank, trucks of 5800 litres 1 truck 32 m³, 1truck 11 m³,1 truck 40 m³ Pas de / No DEFUELING à / in Montpellier. Carte de crédit / Credit card :TOTAL ENERGIES, UVAIR, WORLD FUEL SERVICE, AVCARD, WORLD FUEL CONTRACT, COLT CARD, AVIATION INTO PLANE, PHILLIPS66 WINGS, AIR CARD, AMERICAN EXPRESS, CB. Paiement comptant / Cash payment (750 euros MAX) AUTOMATE AVGAS 100LL interdit aux hélicoptères / Auto",
LFMU,BEZIERS VIAS,100LL|JET_A1,100LL=self_service|JET_A1=restricted,43.323333,3.353333,"10 - AVT : HOR : voir / see NOTAM Carburants / Fuel : JET A1, 100LL Lubrifiants / Lubricants : NIL. Station automatique 24 HR AVGAS 100LL (Carte TOTAL uniquement) Paiement : comptant , carte de crédit Demande de carburant sur FREQ OPS exploitant. En dehors des HOR un surcoût de déplacement sera demandé. Self service 24 HR AVGAS 100LL available ( TOTAL card only) Payment : cash, credit card Fuel request on operator OPS FREQ . Outside SKED, an extension will be charged.",
LFMV,AVIGNON CAUMONT,100LL|JET_A1|UL_AERO,100LL=restricted|JET_A1=restricted|UL_AERO=restricted,43.906667,4.901944,"10 - AVT : Carburants / Fuel : AVGAS 100 LL - UL AERO SUPER+ - JET A1 – Lubrifiants / Lubricants : NIL. LUN-VEN / MON-FRI : ETE / SUM : 0500-1900, HIV / WIN : 0600-1930. SAM / SAT : 0630-1730. DIM / SUN : 0730-1830. Automate / Dispenser AVGAS 100LL (envergure MAX / MAX span 15 m) - UL AERO SUPER+ (envergure MAX / MAX span 10 m) : HOR AVT uniquement, paiement espèces, carte TOTAL et carte bancaire / AVT SKED only, payment by cash, TOTAL card and credit card. Hors HOR / Outside these SKED : TEL gestionnaire d'AD / AD operator.",
LFMW,CASTELNAUDARY VILLENEUVE,SUPER_PLUS|UL91,SUPER_PLUS=restricted|UL91=restricted,43.311111,1.920000,"10 - AVT : Carburant / Fuel : SP98 UL 91, Lubrifiant / Lubricant : NIL. (CIV-MIL) HOR ACB - Bons ENAC et MIL ou paiement comptant. ENAC and MIL vouchers or cash payment. Contacter l'ACB auparavant / Contact ACB in advance.",
LFMX,CHATEAU ARNOUX SAINT AUBAN,100LL,100LL=self_service,44.058611,5.990833,← 10 - AVT : AVGAS 100 LL (automate TOTAL énergie / TOTAL énergie automatic dispenser). Paiement : cartes TOTAL uniquement / Payment : TOTAL cards only. HOR : se renseigner auprès de l'exploitant (CNVV) / SKED : ask the AD operator (CNVV). Lubrifiants / Lubricants : NIL.,
LFMY,SALON DE PROVENCE,100LL|JET_A1,100LL=restricted|JET_A1=restricted,43.603056,5.108333,"10 - AVT : Carburant / Fuel : F18/100 LL - F34 (MIL) - JET A 1 (CIV) Lubrifiants / Oil : NIL LUN-JEU / MON-THU : 0645-1545 VEN / FRI : 0645-1345 SAM, DIM, JF / SAT, SUN, HOL : délai / notice 1 HR CIV ACFT : Demande d'avitaillement J -1 / Ask for fuel D -1 :  04 90 17 81 99 Paiement par chèque ou carte de crédit / Cheques or credit card payment",
LFMZ,LEZIGNAN CORBIERES,100LL,100LL=unknown,43.175000,2.732778,10 - AVT : Carburants / Fuel : 100 LL - Lubrifiant / Lubricant : NIL. Paiement comptant / Cash payment.,
LFNA,GAP TALLARD,100LL|JET_A1|UL91,100LL=self_service|JET_A1=restricted|UL91=self_service,44.453889,6.036667,"10 - AVT : Carburants / Fuel : 100LL - JET A1 - UL 91. HIV / WIN : 0800-1115, 1230-1530 - ETE / SUM : 0800-1115, 1230-1630. Paiement comptant, carte bancaire / Cash payment, credit card. Hors HOR, 100LL et UL 91 disponible par automate carte bancaire / Outside SKED, 100L and UL 91 available by credit card automatic dispenser. TEL : Exploitant AD / AD operator.",
LFNB,MENDE BRENOUX,100LL|JET_A1,100LL=self_service|JET_A1=self_service,44.504167,3.527500,"10 - AVT : Carburants / Fuel : 100 LL-JET A1 disponibles par automate H24 avec carte TOTAL. Si paiement comptant par chèque, contact préalable ATS ou exploitant d'aérodrome. Fuel dispenser : H24 with TOTAL credit card. If Cash payment by cheque, PN ATS or AD operator.",
